file,start,transcription,sentiment
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_57.wav,114.0," Yeah, there's a fast button bag.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_63.wav,126.0, I see scooters,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_64.wav,128.0, signs of the road.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_65.wav,130.0, this one.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_66.wav,132.0, Not my cycles,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_67.wav,134.0," Yeah, that's a lot of stuff.",NEG
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_68.wav,136.0, There we go.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_69.wav,138.0, passing now,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_70.wav,140.0," little bug, yeah, let's have a look, now let's have a look.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_75.wav,150.0, Do you have any target?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_76.wav,152.0," Ah, yeah.",POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_77.wav,154.0," I hit no good at tennis, right?",NEG
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_78.wav,156.0," Good. Yes, well.",POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_80.wav,160.0, It was motorcycle.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_81.wav,162.0, We're giving me a new clip on.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_83.wav,166.0, There's a box on the bridge.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_84.wav,168.0," Pass RC, it's either",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_85.wav,170.0, 10 o'clock.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_87.wav,174.0, I think we use.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_88.wav,176.0," Yeah, I got it.",POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_89.wav,178.0, Now,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_90.wav,180.0," or else it has to be now, R1.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_94.wav,188.0, Why is a car?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_95.wav,190.0, three so far behind Cartoon.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_97.wav,194.0, Yeah,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_104.wav,208.0, Let's park now.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_106.wav,212.0, Is the ODS working?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_107.wav,214.0, Yes.,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_108.wav,216.0, As I bring butt there.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_109.wav,218.0, I can't find it.,NEG
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_110.wav,220.0, Don't you want anything?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_111.wav,222.0, but I should see something in the past.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_112.wav,224.0," If you're state of code, yes, it's marketing.",POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_113.wav,226.0, you should be a wide car.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_114.wav,228.0, I need a green button here.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_115.wav,230.0, Why?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_116.wav,232.0, see if we like to know what we got.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_117.wav,234.0, White and,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_118.wav,236.0," or as you be, as you be, as you be.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_119.wav,238.0, You're a bitch.,NEG
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_121.wav,242.0, See a camel,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_124.wav,248.0, And we got cars coming up.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_125.wav,250.0, There's a,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_126.wav,252.0, driving Lake Car.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_127.wav,254.0," on the left? Yeah, long.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_129.wav,258.0, But he's not.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_130.wav,260.0, I think that was it.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_131.wav,262.0, Oh,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_132.wav,264.0, We have another white SUV.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_133.wav,266.0, and look,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_134.wav,268.0," Yeah, passing that on the left now.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_140.wav,280.0, Passing Military Checkpoint,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_144.wav,288.0, Um...,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_145.wav,290.0," It's like, like, a truck.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_146.wav,292.0, and always a time limit.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_147.wav,294.0, Let's go.,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_149.wav,298.0, Yeah,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_150.wav,300.0, Yeah.,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_156.wav,312.0, Jack.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_157.wav,314.0, Do you feel like this is giving you enough to...,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_158.wav,316.0, Understand or do you want to continue?,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_159.wav,318.0," Yeah, I think",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_160.wav,320.0, English,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_161.wav,322.0," Um, how about you come in there?",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_162.wav,324.0, I think he's enough.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_163.wav,326.0, but we can stop if you want to.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_164.wav,328.0, Thanks.,POS
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_165.wav,330.0," Man, we can kill it.",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_166.wav,332.0, I think it's so...,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_167.wav,334.0, All drivers,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_168.wav,336.0, Oh,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_169.wav,338.0, but I'm going to break. Okay. Come here.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_170.wav,340.0, to breaking out.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_174.wav,348.0," Please don't run through me, yeah!",NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_176.wav,352.0, We've been here and it's been a heart.,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_177.wav,354.0, same person,NEU
Segments/Experimenter_CREW_999_1_All_1731617801/Experimenter_CREW_999_1_All_1731617801_178.wav,356.0, Now.,NEU
